type,title,overview,tmdb_id,imdb_id,provider,release_date,tmdb_rating,popularity,poster_path,genres,imdb_rating,imdb_votes
Movie,Aliens,"Ripley, the sole survivor of the Nostromo's deadly encounter with the monstrous Alien, returns to Earth after drifting through space in hypersleep for 57 years. Although her story is initially met with skepticism, she agrees to accompany a team of Colonial Marines back to LV-426.",679,tt0090605,Hulu,1986-07-18,7.955,10.6135,/r1x5JGpyqZU8PYhbs4UcrO1Xb6x.jpg,"Action, Thriller, Science Fiction",8.4,"810,938"
Movie,Scream,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.",646385,tt11245972,Hulu,2022-01-12,6.679,10.5032,/1m3W6cpgwuIyjtg5nSnPx7yFkXW.jpg,"Horror, Mystery",6.3,"170,995"
TV Show,Squid Game,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",93405,tt10919420,Netflix,2021-09-17,7.865,804.4519,/1QdXdRYfktUSONkl1oD5gc6Be0s.jpg,"Action & Adventure, Mystery, Drama",8.0,"668,188"
TV Show,NCIS,"From murder and espionage to terrorism and stolen submarines, a team of special agents investigates any crime that has a shred of evidence connected to Navy and Marine Corps personnel, regardless of rank or position.",4614,tt0364845,Netflix,2003-09-23,7.624,592.9124,/mBcu8d6x6zB1el3MPNl7cZQEQ31.jpg,"Crime, Drama, Action & Adventure",7.8,"171,263"
TV Show,Grey's Anatomy,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,1416,tt0413573,Netflix,2005-03-27,8.2,421.8094,/7jEVqXC14bhfAzSPgr896dMdDv6.jpg,Drama,7.6,"359,585"
TV Show,Pokémon,"Join Ash accompanied by his partner Pikachu, as he travels through many regions, meets new friends and faces new challenges on his quest to become a Pokémon Master.",60572,tt0168366,Netflix,1997-04-01,7.927,394.5157,/rOuGm07PxBhEsK9TaGPRQVJQm1X.jpg,"Animation, Action & Adventure, Sci-Fi & Fantasy",7.6,"51,287"
TV Show,Brooklyn Nine-Nine,"A single-camera ensemble comedy following the lives of an eclectic group of detectives in a New York precinct, including one slacker who is forced to shape up when he gets a new boss.",48891,tt2467372,Netflix,2013-09-17,8.215,309.7852,/hgRMSOt7a1b8qyQR68vUixJPang.jpg,"Comedy, Crime",8.4,"395,598"
TV Show,Case Closed,"The son of a world famous mystery writer, Jimmy Kudo, has achieved his own notoriety by assisting the local police as a student detective. He has always been able to solve the most difficult of criminal cases using his wits and power of reason.",30983,tt0131179,Netflix,1996-01-08,8.0,259.4127,/ibd5jpPu2oxup9ecU8xvwlRZF0O.jpg,"Animation, Crime, Mystery, Comedy",8.5,"16,575"
TV Show,Supernatural,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way. ",1622,tt0460681,Netflix,2005-09-13,8.298,255.2778,/KoYWXbnYuS3b0GyQPkbuexlVK9.jpg,"Drama, Mystery, Sci-Fi & Fantasy",8.4,"513,949"
TV Show,The Fairly OddParents,"The zany, fast-paced adventures of a 10-year-old boy and his fairy godparents, who inadvertently create havoc as they grant wishes for their pint-sized charge.",4630,tt0235918,Netflix,2001-03-30,7.6,249.7807,/3ryMj7tIvVtiXyI2tLvHYTjOjq4.jpg,"Animation, Comedy, Sci-Fi & Fantasy, Kids",7.2,"49,495"
